,Date,Open,High,Low,Close,Adj Close,Volume
146,2001-05-02,5.792298000000001,5.81229,5.497685,5.650252,5.650252,63795600
147,2001-05-03,5.408249,5.501894,5.313552,5.419823,5.419823,39783700
148,2001-05-04,5.18729,5.542929,5.160985,5.508207,5.508207,33260100
149,2001-05-07,5.486111,5.500842,5.226221,5.296717,5.296717,26184400
150,2001-05-08,5.47138,5.627104,5.07681,5.530303,5.530303,61722700
151,2001-05-09,5.357744,5.660774,5.3240739999999995,5.59133,5.59133,49169800
152,2001-05-10,5.788089,5.8670029999999995,5.682869999999999,5.714436,5.714436,82795900
153,2001-05-11,5.7028620000000005,5.7028620000000005,5.47138,5.602904,5.602904,44884500
154,2001-05-14,5.6081650000000005,5.876473000000001,5.508207,5.809133,5.809133,51697000
155,2001-05-15,5.837542,6.006945,5.7081230000000005,5.897517,5.897517,76713400
156,2001-05-16,5.803872,6.170033,5.803872,6.087962999999999,6.087962999999999,64260300
157,2001-05-17,6.110059,6.602483,6.092172,6.581439,6.581439,127851600
158,2001-05-18,6.493055,6.637206,6.39415,6.590909,6.590909,58829700
159,2001-05-21,6.660353999999999,6.744528999999999,6.474116,6.738214999999999,6.738214999999999,72969800
160,2001-05-22,6.73085,6.997053999999999,6.62984,6.760312,6.760312,70766700
161,2001-05-23,6.660353999999999,6.765573,6.313130999999999,6.407828,6.407828,67209400
162,2001-05-24,6.3973059999999995,6.705597999999999,6.265783,6.6561449999999995,6.6561449999999995,39620200
163,2001-05-25,6.659300999999999,6.734007000000001,6.413089,6.544613,6.544613,27142400
164,2001-05-29,6.496212,6.524621,6.256313,6.286827,6.286827,36669200
165,2001-05-30,6.163721,6.576179,6.163721,6.300505,6.300505,79139800
166,2001-05-31,6.307869999999999,6.467803,6.180555,6.367845,6.367845,46456500
167,2001-06-01,6.439394,6.513047,6.243687,6.444655,6.444655,36471600
168,2001-06-04,6.314184,6.67298,6.259469999999999,6.593013000000001,6.593013000000001,52660700
169,2001-06-05,6.628788,6.883417999999999,6.611953,6.812921,6.812921,45728400
170,2001-06-06,6.813973,6.9791669999999995,6.784511999999999,6.793982000000001,6.793982000000001,43858100
171,2001-06-07,6.741372,6.871842999999999,6.660353999999999,6.838172999999999,6.838172999999999,35823400
172,2001-06-08,6.851852,6.852904,6.649832000000001,6.686658,6.686658,24150600
173,2001-06-11,6.701389,6.86027,6.565657000000001,6.606692,6.606692,39570800
174,2001-06-12,6.506734,6.786616,6.363636,6.680345,6.680345,44221100
175,2001-06-13,6.750842,6.828703999999999,6.494108,6.503577,6.503577,38607100
176,2001-06-14,6.414141000000001,6.821338000000001,6.413089,6.74032,6.74032,61544100
177,2001-06-15,6.659300999999999,6.8813130000000005,6.497264,6.851852,6.851852,82304600
178,2001-06-18,6.792928999999999,6.897096,6.583544,6.626684,6.626684,52004900
179,2001-06-19,6.788721000000001,6.965488000000001,6.555135000000001,6.644571000000001,6.644571000000001,64838100
180,2001-06-20,6.523569,7.317971000000001,6.522517,7.312710000000001,7.312710000000001,98756000
181,2001-06-21,7.275884,7.378997999999999,7.1811869999999995,7.354798,7.354798,84170200
182,2001-06-22,7.300084,7.417928999999999,7.102272999999999,7.132786,7.132786,49360900
183,2001-06-25,7.222222,7.502103999999999,7.207491,7.474748,7.474748,58660500
184,2001-06-26,7.349537,7.444234,7.129630000000001,7.192761,7.192761,52792800
185,2001-06-27,7.265362,7.336911,7.155933999999999,7.218013000000001,7.218013000000001,47880200
186,2001-06-28,7.320075999999999,7.412667999999999,7.270623,7.361111,7.361111,41827100
187,2001-06-29,7.3989899999999995,7.407407000000001,7.101221000000001,7.206439,7.206439,51874700
188,2001-07-02,7.219066000000001,7.386364,7.118055,7.17277,7.17277,35259800
189,2001-07-03,7.196969999999999,7.36532,7.154882000000001,7.276936,7.276936,17244000
190,2001-07-05,7.175926,7.247475,6.997053999999999,7.002314999999999,7.002314999999999,34978500
191,2001-07-06,6.950758,7.118055,6.84133,6.864478,6.864478,36352800
192,2001-07-09,6.918139999999999,6.965488000000001,6.536194999999999,6.784511999999999,6.784511999999999,53474200
193,2001-07-10,6.838172999999999,6.839225999999999,6.271044,6.339436,6.339436,67548700
194,2001-07-11,6.230009,6.406776,6.230009,6.332071,6.332071,55461500
195,2001-07-12,6.695075999999999,7.054924000000001,6.646675,7.041246000000001,7.041246000000001,66785500
196,2001-07-13,6.996002000000001,7.233796000000001,6.891835,7.050714999999999,7.050714999999999,45370100
197,2001-07-16,7.02862,7.184342999999999,6.897096,6.928661999999999,6.928661999999999,34033800
198,2001-07-17,6.849748,7.118055,6.8045029999999995,7.102272999999999,7.102272999999999,43313500
199,2001-07-18,7.042298,7.1811869999999995,6.989688,7.001263000000001,7.001263000000001,48160500
200,2001-07-19,7.066497999999999,7.107533,6.695075999999999,6.7760940000000005,6.7760940000000005,84662500
201,2001-07-20,7.004419,7.154882000000001,6.9791669999999995,7.02862,7.02862,79495200
202,2001-07-23,7.041246000000001,7.042298,6.784511999999999,6.835017,6.835017,46368100
203,2001-07-24,6.603535000000001,6.676136,6.286827,6.494108,6.494108,106056000
